abs_time,rel_time,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,ip_len,ttl,tcp_flags,tcp_flags_str,tcp_window,tcp_seq,tcp_ack,icmp_type,icmp_code,duration,src_bytes,flow_count,same_dst_count,same_srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,syn_count,fin_count,rst_count,psh_count
1773306142.6137,1.9755,192.168.93.59,192.168.93.59,6,8479,80,44,40,64,2,SYN,8192,8510,0,,,0,44,1,86,43,1,0.5,0.5,0.5,1,0,0,0
1773306142.6138,1.9756,192.168.93.59,192.168.93.59,6,80,8479,44,40,64,20,RST|ACK,0,0,8511,,,0.0001819133758544922,88,2,87,0,1,0.4943,0,1,1,0,1,0
1773306142.6141,1.9759,192.168.93.59,192.168.93.59,6,10271,80,44,40,64,2,SYN,8192,2394,0,,,0,44,1,88,44,1,0.5,0.5,0.5,1,0,0,0
1773306142.6142,1.976,192.168.93.59,192.168.93.59,6,80,10271,44,40,64,20,RST|ACK,0,0,2395,,,0.00011801719665527344,88,2,89,0,1,0.4944,0,1,1,0,1,0
1773306142.6144,1.9762,192.168.93.59,192.168.93.59,6,27227,80,44,40,64,2,SYN,8192,1458,0,,,0,44,1,90,45,1,0.5,0.5,0.5,1,0,0,0
1773306142.6145,1.9763,192.168.93.59,192.168.93.59,6,80,27227,44,40,64,20,RST|ACK,0,0,1459,,,0.00011897087097167969,88,2,91,0,1,0.4945,0,1,1,0,1,0
1773306142.6147,1.9765,192.168.93.59,192.168.93.59,6,64677,80,44,40,64,2,SYN,8192,2684,0,,,0,44,1,92,46,1,0.5,0.5,0.5,1,0,0,0
1773306142.6148,1.9766,192.168.93.59,192.168.93.59,6,80,64677,44,40,64,20,RST|ACK,0,0,2685,,,0.00011587142944335938,88,2,93,0,1,0.4946,0,1,1,0,1,0
1773306142.6151,1.9769,192.168.93.59,192.168.93.59,6,60081,80,44,40,64,2,SYN,8192,2115,0,,,0,44,1,94,47,1,0.5,0.5,0.5,1,0,0,0
1773306142.6152,1.977,192.168.93.59,192.168.93.59,6,80,60081,44,40,64,20,RST|ACK,0,0,2116,,,0.0001270771026611328,88,2,95,0,1,0.4947,0,1,1,0,1,0
1773306142.6154,1.9772,192.168.93.59,192.168.93.59,6,3131,80,44,40,64,2,SYN,8192,5230,0,,,0,44,1,96,48,1,0.5,0.5,0.5,1,0,0,0
1773306142.6155,1.9773,192.168.93.59,192.168.93.59,6,80,3131,44,40,64,20,RST|ACK,0,0,5231,,,0.00011420249938964844,88,2,97,0,1,0.4948,0,1,1,0,1,0
1773306142.6157,1.9775,192.168.93.59,192.168.93.59,6,13104,80,44,40,64,2,SYN,8192,2831,0,,,0,44,1,98,49,1,0.5,0.5,0.5,1,0,0,0
1773306142.6158,1.9776,192.168.93.59,192.168.93.59,6,80,13104,44,40,64,20,RST|ACK,0,0,2832,,,0.00011610984802246094,88,2,99,0,1,0.4949,0,1,1,0,1,0
1773306143,1.9778,192.168.93.59,192.168.93.59,6,37354,80,44,40,64,2,SYN,8192,1053,0,,,0,44,1,100,50,1,0.5,0.5,0.5,1,0,0,0
1773306142.6161,1.9779,192.168.93.59,192.168.93.59,6,80,37354,44,40,64,20,RST|ACK,0,0,1054,,,0.00011706352233886719,88,2,101,0,1,0.495,0,1,1,0,1,0
1773306142.6163,1.9781,192.168.93.59,192.168.93.59,6,57783,80,44,40,64,2,SYN,8192,1053,0,,,0,44,1,102,51,1,0.5,0.5,0.5,1,0,0,0
1773306142.6164,1.9782,192.168.93.59,192.168.93.59,6,80,57783,44,40,64,20,RST|ACK,0,0,1054,,,0.00011706352233886719,88,2,103,0,1,0.4951,0,1,1,0,1,0
1773306142.6166,1.9784,192.168.93.59,192.168.93.59,6,25048,80,44,40,64,2,SYN,8192,6305,0,,,0,44,1,104,52,1,0.5,0.5,0.5,1,0,0,0
1773306142.6167,1.9785,192.168.93.59,192.168.93.59,6,80,25048,44,40,64,20,RST|ACK,0,0,6306,,,0.00011801719665527344,88,2,105,0,1,0.4952,0,1,1,0,1,0
1773306142.6169,1.9787,192.168.93.59,192.168.93.59,6,63717,80,44,40,64,2,SYN,8192,2446,0,,,0,44,1,106,53,1,0.5,0.5,0.5,1,0,0,0
1773306143,1.9788,192.168.93.59,192.168.93.59,6,80,63717,44,40,64,20,RST|ACK,0,0,2447,,,0.00011420249938964844,88,2,107,0,1,0.4953,0,1,1,0,1,0
1773306142.6172,1.979,192.168.93.59,192.168.93.59,6,45982,80,44,40,64,2,SYN,8192,2774,0,,,0,44,1,108,54,1,0.5,0.5,0.5,1,0,0,0
1773306142.6174,1.9792,192.168.93.59,192.168.93.59,6,80,45982,44,40,64,20,RST|ACK,0,0,2775,,,0.0001201629638671875,88,2,109,0,1,0.4954,0,1,1,0,1,0
1773306142.6175,1.9793,192.168.93.59,192.168.93.59,6,30971,80,44,40,64,2,SYN,8192,6993,0,,,0,44,1,110,55,1,0.5,0.5,0.5,1,0,0,0
1773306142.6177,1.9795,192.168.93.59,192.168.93.59,6,80,30971,44,40,64,20,RST|ACK,0,0,6994,,,0.00012874603271484375,88,2,111,0,1,0.4955,0,1,1,0,1,0
1773306142.6181,1.9799,192.168.93.59,192.168.93.59,6,19827,80,44,40,64,2,SYN,8192,3349,0,,,0,44,1,112,56,1,0.5,0.5,0.5,1,0,0,0
1773306142.6182,1.98,192.168.93.59,192.168.93.59,6,80,19827,44,40,64,20,RST|ACK,0,0,3350,,,0.00011491775512695312,88,2,113,0,1,0.4956,0,1,1,0,1,0
